data,model,prefix_num,prefix_source,beam_size,sample,temperature,repeat,prompt_type,valid,acc,auc,p,r,F1
_,GPT2,0,ecb,1,do,1,5,prompt 1,100%,0.7035105428443248,0.48909135979120344,0.0724191063174114,0.2346647646219686,0.11068124474348193
_,GPT2,0,ecb,1,do,1,5,prompt 2,100%,0.8368102288021534,0.49227388401752825,0.06716417910447761,0.08345221112696148,0.07442748091603055
_,GPT2,0,ecb,1,do,1,5,prompt 3,100%,0.9106101390758188,0.49905004849172085,0.06756756756756757,0.010699001426533523,0.01847290640394089
_,GPT2,0,ecb,1,do,1,5,prompt 4,100%,0.7902646926873037,0.49767812784622956,0.07644927536231884,0.15049928673323823,0.10139356078808265
_,GPT2,0,ecb,1,do,1,5,prompt 5,100%,0.8644571556751907,0.5030363110520315,0.08503679476696648,0.07417974322396577,0.07923809523809525
_,GPT2,0,ecb,1,do,1,5,prompt majority,100%,0.9062920592193809,0.5006211889284329,0.08359133126934984,0.01925820256776034,0.03130434782608695
_,GPT2,0,ecb,1,do,1,5,prompt mean,100%,0.569425751458053,0.4893972005907568,0.07491194798157681,0.39443651925820256,0.12591074681238618
